Recall Number,Recall Event ID,Device Type,Product Code,Regulation Description,Medical Specialty,Review Panel,Submission Type,Trade Name/Product,Main Name,Recall Class,Date Posted,Year Posted,Recalling Manufacturer,Reason for Recall,FDA Determined Cause,Action,Consumer Instructions,Clean Quantity,Quantity in Commerce,Distribution,Recall Status,Termination Date,Time to Terminate,Merged Quantities
Z-1126-2017,76130,No,KNW,Gastroenterology-urology biopsy instrument.,Gastroenterology/Urology,Gastroenterology/Urology,510(k),Intact Disposable Wands (part of the Intact System),N/A,N/A,"December 28, 2016", 2016,"Medtronic Advanced Energy, LLC",Product sterility compromised due to breach of sterile barrier,Package design/selection,"Medtronic Advanced Energy notified customers by letter on December 27, 2016 via Next Day FEDEX. The communication advises users to immediately stop using the affected Intact Disposable Wands and to quarantine them until they can be returned to Medtronic. Medtronic Sales representatives will arrange for the return of all recalled product.",N/A,10,10 units,"Worldwide Distribution - US Nationwide in the countries of China, Greece, Netherlands, Egypt, Turkey, and Switzerland.",Terminated,"May 11, 2017",134,3303
Z-1124-2017,76182,No,KWI,Elbow joint radial (hemi-elbow) polymer prosthesis.,Orthopedic,Orthopedic,510(k),"Synthes Radial Head Prosthesis System, Surgical instrument motors and accessories",N/A,N/A,"December 29, 2016", 2016,Synthes (USA) Products LLC,There is the possibility that the radial stem may loosen post-operatively at the stem bone interface.,Under Investigation by firm,An Urgent Notice was mailed to consignees explaining the reason for the recall. Customers were asked to immediately review their inventories for the affected product and complete and return the Verification form that was included with the notification and return any of the affected product that was found.,N/A,50311,"50,311 units",United States Nationwide Distribution.,"Open, Classified",N/A,N/A,50311
Z-1139-2017,76206,No,JWH,Knee joint patellofemorotibial polymer/metal/polymer semi-constrained cemented prosthesis.,Orthopedic,Orthopedic,510(k),Empowr PS Knee Tibial Insert; Model 343-14-709,N/A,N/A,"January 10, 2017", 2017,"Encore Medical, Lp",The Empowr PS Insert was reported as missing the impaction slot feature.,Component design/selection,"DJO Global sent an Urgent Field Safety Notice dated January 10, 2017, to all affected customers.   The Field Safety Notice instructs the agents to notify all individuals within their organization or to any organization where the potentially affected product has been transferred.  Customers with questions should contact customer service at 1-800-456-8696.  For questions regarding this recall call 512-832-9500.",N/A,24,24 units,"Nationwide Distribution to CO, NY, and FL",Terminated,"May 11, 2017",121,24
Z-1138-2017,76134,No,IZL,Mobile x-ray system.,Radiology,Radiology,510(k),"Carestream DRX-Revolution Mobile X-Ray System, Model DRXR-1, Catalog No. 1019397 (all other countries), Catalog No. 1060177 (China only) -- Carestream Health, Inc. 150 Verona Street, Rochester, NY 14608",N/A,N/A,"January 12, 2017", 2017,Carestream Health Inc,The firm received a complaint alleging that a DRX Revolution System could not be stopped when applying the brake.  The Revolution crashed into an elevator.,Device Design,"Carestream Health Inc. sent an URGENT: MEDICAL DEVICE CORRECTION Letter dated December 29, 2016, and response forms were sent to the US customers via Certified Mail-Return Receipt Requested on January 12, and January 13,  2017,  informing them of the problem.  Customers are instructed to read and complete all information and return the response form within 5 working days to the following e-mail address: postmarketra@carestream.com, or fax the completed form to (585) 454-4493. UMDC Letters and Response Forms to Canadian Customers were sent the week of  January 9, 2017, via courier.  Field Safety Notice (FSN) Letters for the rest of world are in process.  FSN Letters for the EMEA should be sent via courier starting later this week.US Carestream Customer Care Center #: 1-800-328-2910 (24/7). Outside of the US, please call your local Service support number.",N/A,2773,US: 1403 units; Foreign: 1370 units,"Worldwide Distribution - USA (nationwide) Distribution including  Puerto Rico, and to the countries of :  Argentina, Australia, Austria, Belgium, Brazil, Canada, Chile, Colombia, Denmark, Dominican Republic, Dubai, Finland, France, Germany, Ghana, India, Iran, Ireland,  Israel, Italy, Japan, Korea, Kuwait, Lebanon, Libya, Malaysia, Maldives, Mexico, Morocco, Netherlands, New Zealand, Norway,  Oman, Peru, Poland, Portugal, Qatar, Russia, Saudi Arabia, Singapore, Spain, Sweden, Switzerland, Taiwan, Thailand, Turkey, United Arab Emirates and United Kingdom.","Open, Classified",N/A,N/A,2773
Z-1137-2017,75226,No,LJW,"Ear, nose, and throat manual surgical instrument.",Ear Nose &amp; Throat,Ear Nose &amp; Throat,510(K) Exempt,"Celerity ECG Cable Accessory Pack, STERILE, Rx ONLY - distributed under the following labels: (a) angiodynamics UPN/Product No. H787471431, REF/Catalog No. 47-143 -- Legal Manufacturer: AngioDynamics, Inc. 10 Glens Falls Technical Park, Glens Falls, NY 12801; and (b) medCOMP UPN/Product No. MRLCA000, REF/Catalog No. MRLCA000 -- medCOMP, 1499 Delp Drive, Harleysville, PA 19438 --- Description: The Celerity ECG Cable Accessory Pack is comprised of two sterile, single use components: a cable cover and an ECG clip cable (alligator clip).  The cable cover is used to sleeve the remote control cable component of the Celerity System so that the user can remotely control the monitor within the sterile field.  The stereo jack end of the remote control cable pierces the sterile cable cover and interfaces with the stereo jack connector end of the ECG clip cable.  The alligator clip side of the ECG clip cable is clamped to the stylet or guidewire to provide the intravascular cavity ECG reading.",N/A,N/A,"September 07, 2016", 2016,Angiodynamics Inc. (Navilyst Medical Inc.),"The Celerity ECG Cable Accessory Pack has the potential to contain an ECG Clip Cable that was not properly manufactured.  The affected product is not soldered per specification, and may result in the device not properly conducting the ECG signal.",Employee error,"On 9/7/2016, AngioDynamics, Inc. sent URGENT VOLUNTARY MEDICAL DEVICE RECALL Notifications (dated 9/7/2016) to 47 consignees via Federal Express. Consignees were instructed to segregate and return all affected devices to AngioDynamics and complete and return the Reply Verification Tracking Form, provided in the recall notification.  Please call AngioDynamics Customer Service at 1-800-772-6446 Monday - Friday between 8:00 am and 7:00 Pm EST to obtain a replacement or credit for returned product.",N/A,N/A,N/A,"AZ, CA, FL, GA, IL, IN, KS, MD, MO, MT, NC, NJ, NV, OH, OR, PA, TN, TX, WI",Terminated,"April 06, 2017",211,N/A
Z-1142-2017,75149,No,HKI,Ophthalmic camera.,Ophthalmic,Ophthalmic,510(k),Merge Eye Station.,N/A,N/A,"December 09, 2016", 2016,"Merge Healthcare, Inc.",Merge received reports of Merge Eye Station being unable to capture images of the eye as expected per the intended use of the product. Merge is recalling product from the field to reduce the risk to patient health.,Software design,"Merge sent an Urgent Medical Device Recall letter on December 9, 2016. The letter was addressed to Office Manager . The letter described the Product, Issue, Potential Harm, Containment by the Customer / User, Action by Merge and Actions by Customer. Requested customers to provide response to the ""Response to this Notification is Required"".  If the product was further distributed advised consignees to notify them at once. For questions send an e-mail to recall@merge.com. E-mails to be sent to consignees on 12/19/2016. For further questions, please call (262) 367- 0700.",N/A,182,182 capture stations,"Worldwide Distribution -  USA (nationwide) including the states of :  CA, CO, CT, FL, HI, IL, IN, LA, MD, MA,M I, MN, MS. MK. NY, NC,ND, OH, OK, OR, PA, RI, TN, VA, WA and WV., and the countries of  Canada and United Kingdom.","Open, Classified",N/A,N/A,182
Z-1143-2017,76162,No,MKJ,Automated external defibrillator system.,Cardiovascular,Cardiovascular,PMA,LIFEPAK 12 Defibrillator/Monitor with End-Tidal CO2 option.,N/A,N/A,"January 16, 2017", 2017,"Physio-Control, Inc.",The End-Tidal CO2 (EtCO2) reading can intermittently show a value of XXX after start-up or during device operation.,Process control,"Physio Control sent the Urgent Medical Device Correction LIFEPAK 15 Monitor/ Defibrillator and LIFEPAK 12 Defibrillator/Monitor with End-Tidal CO2 (EtCO2) option letter, dated January 2017, and confirmation sheets to consignees on January 16, 2017.Physio-Control is contacting customers with affected devices to schedule the correction of their device(s), which will include replacing the EtCO2 module.Required Customer Actions:1. Please forward this information to all affected sites, trainers and users that may have affected LIFEPAK 12 or LIFEPAK 15 device(s).2. Consignees should follow the instructions on the Confirmation Sheet for each serial number listed in their possession. Promptly return the completed Confirmation Sheet to Physio-Control.3. If consignees experience the XXX after power-up or during device operation, please contact Physio-Control to arrange for servicing of their device.Consignees should return completed confirmation sheet:-By fax to: 1-866-448-9567-By email to: rsrecall@physio-control.com-Or by mail to: Physio-Control, Inc. P.O. Box 97006, Dept. 15N Redmond, WA, 98073-9706Consignees with questions can call the firm at 1-800-442-1142, option 7, 6:00 A.M. to 4:00 P.M. (Pacific), Monday  Friday.",N/A,7,7 units in the US and 13 modules worldwide (5 international; and 8 owned by Physio),"Worldwide distribution.  LifePak 12 distributed in US states of AL, GA, NY, SC, and in Australia.LifePak 15 distributed nationwide in the US including Puerto Rico and to  ALGERIA, ARGENTINA, AUSTRALIA, AUSTRIA, BAHRAIN, BELGIUM, CANADA, CHILE, CZECH REPUBLIC, DENMARK, FINLAND, FRANCE, FRENCH GUIANA, GERMANY, GREECE, HUNGARY, ICELAND, IRELAND, ITALY, LITHUANIA, LUXEMBOURG, NETHERLANDS, NEW ZEALAND, NORWAY, POLAND, PORTUGAL, SAUDI ARABIA, SENEGAL, SERBIA, SLOVENIA, SOUTH AFRICA, SPAIN, SWITZERLAND, TAHITI, UNITED ARAB EMIRATES, AND UNITED KINGDOM.","Open, Classified",N/A,N/A,7
Z-1147-2017,75338,No,CAF,Nebulizer.,Anesthesiology,Anesthesiology,510(k),"Thayer MiniSpacer Dual Spray MDI Adapter Counter Incrementing Actuator with 15mm O.D./I.D. Connections, Reference no. 1543A.",N/A,N/A,"September 29, 2016", 2016,Thayer Medical Corporation,The insert and case label description of the device incorrectly reads Counter Incrementing Actuator with 22mm O.D./I.D. Connections.,Labeling design,"Thayer Medical sent an Urgent Medical Device Recall letter dated September 30, 2016, to all affected customers.  The letter informed customers that Thayer Medical has identified a labeling error on REF 1543A, Thayer MiniSpacer Dual Spray MDI Adapter with Counter Incrementing Actuator and 15mm O.D./I.D. Connections.  Customers were informed to complete and return the attached Customer Reply Form by email to info@thayermedical.com or fax to 1-520-790-5854.For questions regarding this recall call 520-790-5393, ext 2210.",N/A,2550,"2,550 units",Nationwide Distribution,Terminated,"February 07, 2017",131,2550
Z-1145-2017,75557,No,LGZ,Infusion pump.,General Hospital,General Hospital,510(k),"HOTLINE Blood and Fluid Warmer, Mole l HL-90.  Designed for use with the Hotline Fluid Warming Set (L-80, L-70 and L-70N) to warm blood and intravenous (I.V.) fluids and deliver them to the patient's intravenous access site at normothermic temperatures under gravity flow conditions.",N/A,N/A,"October 31, 2016", 2016,"Smiths Medical ASD, Inc.",HOTLINE Blood and Fluid Warmers included Greek and Danish language labeling instead of the required Finnish labeling.,Labeling mix-ups,"Smiths Medical sent an Urgent-Medical Device Field Safety Notice dated October 28, 2016, to all affected customers. The letter described the Reason for Field Corrective Action, Risk to Health, and Instructions to Customers. Advised consignees to notify customers and to review and complete the Recall Confirmation Form and return it to Smith Medical via e-mail to FCA.Response@Smiths-medical.com. For further questions, please call (651) 633-2556.",N/A,33,33,Internationally to Finland,"Open, Classified",N/A,N/A,33
Z-1151-2017,76275,No,LXH,Orthopedic manual surgical instrument.,Orthopedic,Orthopedic,510(K) Exempt,"InterFuse Tail Traction Tool, Part Number 9116.",N/A,N/A,"January 13, 2017", 2017,"Vertebral Technologies, Inc.",Fit issues have been identified with the Tail Traction Tool (PN 9116) when used with the Interfuse T tailed implant.  The InterFuse T Tail may not fit into the Thru Hole in the instrument.,Nonconforming Material/Component,"Consignees were sent via email a VTI ""Advisory Notice"" letter.  The letter listed the Concern, Impact, Alternate Methods, Affected Lots, and Your Responsibility. Consignees were requested to acknowledge receipt of this notice, Discontinue use of the Tail Traction Tool when implanting the InterFuse T tailed implant, Notify individuals that may potentially use the device and alternate module assembly methods.  Advise consignees to contact Customer Service (1-877-912-5401 in US , +-952-912-5400 outside US or customerservice@vti-spine.com to obtain a replacement instrument.",N/A,63,63 pieces,"US: IL, WI, OH, NY, MT, FL, MD, IN, TN, TX, MN.OUS: Italy, Taiwan Spain, Belgium, Canada, Netherlands, Sweden, Switzerland, Portugal, Brazil. Germany, Ireland,","Open, Classified",N/A,N/A,63
Z-0927-2017,75736,No,FRN,Infusion pump.,General Hospital,General Hospital,510(k),MEDRAD Intego PET Infusion System - Pump,N/A,N/A,"November 07, 2016", 2016,Bayer Healthcare,Bayer has determined that all current Source Administration Sets (SAS) used with the Medrad Intego Pet Infusion System may produce particulates in radiopharmaceutical (RP) vials when the needle is inserted.,Under Investigation by firm,"Bayer mailed an Urgent Medical Device Field Safety Notice dated November 3. 2017 to affected customers to inform them of the issue.  Customers were asked to immediately quarantine unused product and resume use once the qualified in-line filter is received or to request a RGA (Return Goods Authorization) number to return the product.  Customers were asked to complete the response form indicating if their institution does or does not have affected product and return the form via fax to 1-412-406-0941.  Customers with questions were instructed  to contact the Customer Care team at 1-800-633-7231, opt 2.For questions regarding this recall call 412-767-2400.On December 5, 2016, the recalling firm sent a new letter indicating the inline filter has been successfully tested and that they have qualified a compatible in-line filter to be used with the Patient Administrative Set (PAS) that will allow you to resume use of your Intego system.",N/A,178982,"178,982 (86,172 units in U.S.)",Nationwide Distribution,"Open, Classified",N/A,N/A,178982
Z-1150-2017,76146,No,GCY,"Nonpowered, single patient, portable suction apparatus.",General &amp; Plastic Surgery,General &amp; Plastic Surgery,510(K) Exempt,9805,N/A,N/A,"January 03, 2017", 2017,Stryker Leibinger GmbH &amp; Co. KG,"An incorrect sterility status on the label, non-sterile products labeled as sterile",Labeling mix-ups,"Stryker sent an  "" URGENT MEDICAL DEVICE RECALL""  notifications dated January 3, 2017, to the affected customers. The recall notification included a description of the reason for the recall, affected product, consignee responsibilities, instructions for returning affected product, and instructions for responding to the formal recall notification.Please report any adverse events or product quality  problems to Stryker CMF Customer Service:  1 (800)  962-6558.",N/A,619,619,"Worldwide Distribution -  USA (nationwide) Distribution and to the countries of :Australia, Canada, Chile, Spain, South Africa and Taiwan.",Terminated,"July 27, 2017",205,619
Z-1148-2017,76017,No,FZP,Implantable clip.,General &amp; Plastic Surgery,General &amp; Plastic Surgery,510(k),"AtriClip"" LAA Exclusion System with preloaded Gillinov-Cosgrove"" Clip - A single PRO2 device is packaged in a conventional thermoformed polyethylene terephthalate glycol (PETG) tray with a TyvekÂż lid. A single-walled non-corrugated box completes the single unit package. Six (6) single unit PRO2 devices are packaged into one (1) corrugate shipper box.",N/A,N/A,"November 30, 2016", 2016,"AtriCure, Inc.",A complaint of the PRO2 jaw breaking prior to surgery being performed.,Component design/selection,"Recall notification letters were mailed to all Atricure customers.  Email notification letters were forwarded to all Atricure field-based personnel, who may also conduct in-person meetings.  Telephone calls will be made as needed and effectiveness checks will be conducted.",N/A,464,464 units,"Devices were distributed in the following states: AL, AR, AZ, CA, CO, FL, GA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NY, OH, OK, PA, SC, TN, TX, UT, VA, VT, &amp; WI.Devices were distributed in the following countries: Austria, Germany, Netherlands, Poland, Sweden, Switzerland and United Kingdom.","Open, Classified",N/A,N/A,464
Z-1185-2017,75939,No,LLI,AC-powered adjustable hospital bed.,General Hospital,General Hospital,510(K) Exempt,Junction Box - 1104343 and 1193560,N/A,N/A,"December 02, 2016", 2016,Invacare Corporation,A quality issue with the junction box used in the bariatric bed junction that may omit sparks and result into a fire.,Component design/selection,"All customers were notified via letter with return receipt.  This notification will include a provider letter, provider response card, impacted unit list and a consumer letter.  Consignees will be instructed conduct sub-recalls as necessary.  Follow-up telephone calls will be made to nonresponders.",N/A,161,161 units,"Products were distributed in the following states:  AK, AL, AR, CA, CO, CT, FL, HI, ID, IL, IN, KS, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, and WI.No foreign accounts","Open, Classified",N/A,N/A,864
Z-1181-2017,76200,No,JIT,Calibrator.,Clinical Chemistry,Clinical Chemistry,510(K) Exempt,"VITROS Chemistry Products FS Calibrator 1, REF 680 1873 12 x 3 mL, Rx ONLY, IVD; used in conjunction with VITROS Chemistry Products Calibrator Kits to calibrate VITROS 5,1 FS/4600 Chemistry and integrated Systems. --- Ortho-Clinical Diagnostics, Inc. Rochester, NY 14626 --- Ortho-Clinical Diagnostics Pencoed, CF35 5PZ, UK ---- Background: VITROS assays must be calibrated prior to use in order to be used to produce assay results. The Assay Data Disk (ADD) contains calibrator assigned values/ calculation data for multiple VITROS Calibrators and Lots. The Data Release Version (DRV) number identifies the version of the ADD.  Each time the ADD is updated with new ata, the DRV number increments higher. The DRV with the highest number contains the most",N/A,N/A,"January 05, 2017", 2017,Ortho-Clinical Diagnostics,"The company received a customer complaint for the inability to calibrate VITROS Chemistry Products dLDL Reagent when using VITROS FS Calibrator 1, Lot 91461 and ADD (DRV 5908).  Assay Data Disk (ADD) DRV versions 5904, 5905, 5906, 5907, 5908, 5909, and 5910 are all affected by this issue.",Under Investigation by firm,"Ortho Clinical Diagnostics sent an Important Product Correction Notification letter (Ref. CL2017-002) and ADD DRV 5911dated January 5, 2017, to all affected customers.  The letters were sent via FedEx overnight courier and/or US Postal Service Priority Mail (for PO Boxes only) to US consignees (Ortho Direct, Drop-Ship and US Federal Government) to inform them of the issue and advised them to install Assay Data Diskette, DRV 5911 or above on their VITROS System.  Foreign affiliates were informed by e-mail on January 5, 2017, of the issue and instructed to notify their consignees of the issue and required actions.  Customers with questions were instructed to contact Ortho Care Technical Solutions Center at 1-800-421-3311.For questions regarding this recall call 908-218-8776.",N/A,802,"US: 160 kits, Foreign: 642 kits","Worldwide Distribution - US (Nationwide and, Puerto Rico) and Foreign distribution to the following countries: Australia, Brazil,  Canada, Chile, China, Colombia, England, France, Germany, India, Italy, Japan, Mexico, Panama, Poland, Singapore, Spain, and Venezuela.","Open, Classified",N/A,N/A,802
Z-1176-2017,76260,No,LLZ,Picture archiving and communications system.,Radiology,Radiology,510(k),"Merge PACS software.  The firm name on the label is Merge Healthcare, Hartland, WI.",N/A,N/A,"April 04, 2016", 2016,"Merge Healthcare, Inc.",Potential exists for an incorrect patient image being displayed which could result in the delay in diagnosis or treatment.,Software design,The recalling firm issued a letter dated 3/28/2016 via email on 4/4/2016 or via certified mail if they did not have an email address for the customer.  A second letter was issued 7/11/2016 to nonresponders.,N/A,29,29 sites have the potentially affected software,"Distribution was made to medical facilities in AZ, CA, CO, FL, HI, IL, MA, MD, MI, MO, NY, OH, PA, SC, TN, UT, and WI.  There was no foreign/government/military distribution.","Open, Classified",N/A,N/A,29
Z-1177-2017,76133,Yes,BTR,Tracheal tube.,Anesthesiology,Anesthesiology,510(k),"Sheridan/CF, Cuffed Tracheal Tube, Catalog # 5-10114 and Sheridan/HVT Cuffed Tracheal Tube, Catalog # 5-10315",N/A,N/A,"October 18, 2016", 2016,Teleflex Medical,"Labeling inconsistency - units labeled with a 7mm tube may contain a size 6.5mm tube, and units labeled 7.5mm tube may contain a size 5.5mm tube.",Unknown/Undetermined by firm,"Teleflex sent an Medical Device Recall Notification letter dated October 18, 2016, to all affected customers.   Customers were advised to immediately discontinue use and to quarantine product.  The letter to distributors requested a sub-recall.  Both letters included an acknowledgement form to be returned.  Customers with questions were instructed to contact their local representative or Customer Service at 1-800-246-6990.",N/A,25274,"25,274 units","Worldwide Distribution - US including AL, AZ, ARK, CA, CO, CT, FL, GA. HI, KS, KY, IL, IN, IA, LA, MD, MA, MI, MN, MS, MO, MT, NE, NJ, NM, NY, NC, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WV and Internationally to Canada, Chile, &amp; Japan","Open, Classified",N/A,N/A,25274
Z-1178-2017,76323,Yes,LWS,N/A,N/A,Cardiovascular,PMA,"Boston Scientific, EMBLEM S-ICD Programmer Model 3200 Programmer.",N/A,N/A,"January 12, 2017", 2017,Boston Scientific Corporation,"There is a potential for radio frequency (RF) interference to alter wireless communication from a programmer, which in rare instances may cause an S-ICD to perform an unintended command.  This behavior can only occur during an active, in-clinic interrogation/programming session with the Model 3200 S-ICD programmer.  There is no risk of this behavior occurring when the LATITUDE Patient Management System communicates with an S-ICD in an ambulatory setting.",Software design,"Boston Scientific sent an ""Important Medical Device Information"" letter dated on January 12, 2017. The letter was addressed to ""Dear Doctor"".  The letter included information on the Description and Clinical Implications, Rate of Occurrence, Recommendations, Affected Programmer &amp; Additional Information. For additional questions regarding this communication or to report clinical events, contact your Boston Scientific representative or Technical Services at 1 800-227-3422.",N/A,4500,"4,500","Worldwide Distribution -  USA ( nationwide) including PR and to the states of : AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY., and to the countries of :Canada, Austria, Belgium, Czech Republic, Denmark, Finland, France, French Polynesia, Guadeloupe, Monaco, New Caledonia, Reunion, Germany, Greece, Hungary, Ireland, Israel, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom, Australia, China, Egypt, Hong Kong, India, Iran, Japan, Jordan, Kuwait, Lebanon,  Malaysia, New Zealand, Qatar, Saudi Arabia, Singapore, South Africa, Thailand, Tunisia, Turkey, United Arab Emirates, Argentina, Bermuda and Brazil.","Open, Classified",N/A,N/A,4500
Z-1180-2017,76258,No,LLZ,Picture archiving and communications system.,Radiology,Radiology,510(k),"Merge RadSuite software.  The firm name on the label is Merge Healthcare, Hartland, WI.",N/A,N/A,"November 17, 2015", 2015,"Merge Healthcare, Inc.","The values provided from the Pixel Value tool do not appear to be correct, which may result in potential patient injury or delay in diagnosis or treatment.",Software design,"Merge sent an Urgent Medical Device Recall letter dated March 28, 2016 to all affected customers. The letter notifies the customer of the issue and informs them an upgrade is available. The notification instructs the customer to pass the information onto all other users, as well as any downstream customers if it was further distributed.  The notification also informs the customer their response is required using the enclosed form and the return addressed envelope.  The response form asks, in part, if they are interested in accepting the fix.  If they decline the fix, they are asked to provide the reason why. The response was required no later than April 18, 2016.A second letter dated July 11, 2016, was issued asking for a response by August 2, 2016, even though all upgrades were made because the effectiveness checks were not yet completed.  The letter and response form contained the same information as the first letter.The recalling firm reported emails were tracked for delivery confirmation and the letters were tracked for delivery by USPS certified services. For further questions, please call 877-744-5369.",N/A,8,8 sites have the potentially affected version,"US Distribution was made to medical facilities in AL, IN, MI, PA and WI.",Completed,N/A,N/A,8
Z-1179-2017,75936,No,JGP,Total protein test system.,Clinical Chemistry,Clinical Chemistry,510(K) Exempt,"VITROS Chemistry Products UPRO Slides, UPN 10758750000593,",N/A,N/A,"December 08, 2016", 2016,Ortho-Clinical Diagnostics,There is a potential for variable negatively and positively biased urine protein results using VITROS UPRO Slides.,Device Design,"On December 8, 2016, Ortho Clinical Diagnostics distributed Product Correction Notification letters to their customers via FedEx, ORTHO PLUS e-Communications and/ or US Postal Service Priority Mail.  Customers are advised to check their stock for affected product and to immediately discontinue and discard all remaining inventory.  Ortho will credit your account for any discarded VITROS UPRO Slides, VITROS Chemistry Products Calibrator Kit 10 and/or VITROS Chemistry Products UPRO Performance Verifier I &amp; II.  Please complete the Confirmation of Receipt and return by December 22, 2016.  Customers with questions, please contact Ortho CareTM Technical Solutions Center at 1-800-421-3311.",N/A,3381390,"37,571 packs/90 slides totalling 3,381,390 slides","Worldwide distribution - Nationwide U.S.A; International - Bermuda, Australia, Canada, Chile, China, Colombia, India, Japan, Mexico, Republic of Panama, Singapore, Venezuela, England, France, Germany, Italy, Spain and Poland.","Open, Classified",N/A,N/A,3381390
Z-1189-2017,76295,No,JKA,Blood specimen collection device.,Clinical Chemistry,Clinical Chemistry,510(k),BD Vacutainer  Buffered Sodium Citrate: (9NC) Blood Collection Tube (4.5 ml x 13 x 75 mm),N/A,N/A,"January 16, 2017", 2017,Becton Dickinson &amp; Company,"A portion of this lot of blood collection tubes was manufactured with approximately twice the expected amount of buffered sodium citrate additive, an anticoagulant.",Process control,"BD sent an Urgent Product Recall letter dated January 16, 2017 to customers. The letter identified the affected product, problem and actions to be taken.  Customers were instructed to complete the Customer Recall Response Form and fax the completed form back to BD at 1-844-388-5534 or email the completed form to bd8872@stericycle.com.  For questions call 1-844-265-7408.",N/A,1488800,"1,488,800 tubes","Worldwide Distribution - US Nationwide and the countries of Canada, Mexico, Indonesia","Open, Classified",N/A,N/A,1488800
Z-1188-2017,76378,No,LNH,Magnetic resonance diagnostic device.,Radiology,Radiology,510(k),Discovery MR450,N/A,N/A,"January 20, 2017", 2017,"GE Healthcare, LLC","Potential safety issue with the patient bore heating on the Discovery MR450 narrow bore 1.5T MRI. In the event of a RF component failure, typically happening after extended system use, a small area on the bore surface may become warmer than normal. If this happens in an area where there is patient contact with the bore, and proper padding is not used, it may cause a serious burn.",Device Design,"The firm, GE Healthcare, sent an ""URGENT MEDICAL DEVICE CORRECTION""  letter GEHC Ref# 60913 Dated January 20, 2017.  The letter was addressed to Hospital Administrators / Risk Managers, Radiology Department Managers &amp; Radiologists. The letter described the Safety Issue, Safety Instructions, Affected Product Details, Product Correction &amp; Contact Information.  For questions contact GE Healthcare Service at 1-800-437-1171 or your local Service Representative.",N/A,60,60,"Worldwide Distribution- US (nationwide) including states of: CA, DC, IL, MN, MO, NY, SC, TX, WI, WV; and countries of: Canada, Czech Republic, Denmark, Finland, France, Germany, Italy, Netherlands, Norway, Poland, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, United Kingdom, and Uruguay.","Open, Classified",N/A,N/A,60
Z-1186-2017,76183,No,KPS,Emission computed tomography system.,Radiology,Radiology,510(k),BrightView XCT,N/A,N/A,"December 23, 2016", 2016,Philips Medical Systems (Cleveland) Inc,The intended use listed in the English and localized language IFUs for BrightView XCT systems did not match the intended use documented in the 510K submission.,Under Investigation by firm,"All customers were notified via certified mail with return receipt.  International customers were notivied via Philips employees.  A field change order was initiated.  Non-responders will be followed up on.  Lastly, effectivenss checks will be conducted.",N/A,425,425,"Products were distributed in the following states:  AZ, CA, CO, DC, DE, FL, GA, IL, LA, MA, MD, MN, MO, MS, MT, NC, NJ, NY, OH, OK, OR, PA, PR, TX, VT, WA, &amp;  WI.Product was distributed internationally to the following countries: Australia, Austria, Belgium, Brazil, Canada, Chile, China, Czech Republic, Denmark, France, Gabon, Germany, Greece, India, Indonesia, Ireland, Israel, Italy, Japan, Korea, Lebanon, Lithuania, Malaysia, Netherlands, New Zealand, Norway, Panama, Poland, Portugal, Russian Federation, Saudia Arabia, Slovakia, South AFrica, Apain, Sweden, Switzerland, Taiwan, Turkey, United Arab Emirates, United Kingdom,  and Viet Nam.","Open, Classified",N/A,N/A,425
Z-1193-2017,76025,No,OLO,Stereotaxic instrument.,Neurology,Orthopedic,510(k),"Stryker Restoris RIO Reamer Handle, Offset, Mako Rx only",N/A,N/A,"September 29, 2016", 2016,Mako Surgical Corporation,Failure of the Offset Cup Reamer Handle not engaging its mating components.,Component change control,"Customers were sent a recall notificaiton letter, dated 10/17/2016, addressing the reason for recall and the appropriate actions that should be taken by customers. Consignees are instructed to return any recalled product on hand to Stryker C/O Stericycle, 2670 Executive Dr. Suite A, Indianapolis, IN 46241, Attn RA 2016-083, RA 2016-119 - Event 8811. Consignees are also instructed to inform their users of this recall and forward the notice to affected individuals. A Business Reply Form was provided and is to be completed within 5 business days of receipt by consignees. Completed business reply forms are to be faxed to 855-620-5693 or emailed to strykerortho8811@stericycle.com.",N/A,595,595 units,"Worldwide Distribution - US Nationwide in the states of AL, AZ, CA, CO, CT, FL, GA, ID, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, RI, TN, TX, UT, VA, WA, WI, WV, &amp; WY and the countries of Italy, Germany, Australia, China, Europe, Hong Kong, South Africa, Germany, Thailand &amp; Singapore.","Open, Classified",N/A,N/A,595
